placement,job_ids,models,arrival_times,wait_times,training_time,jcts
k8s-bin-packing,18,resnet50,11716.37,0,10979.74906,10979.17781
k8s-bin-packing,19,resnet50,11961.23,0,1386.811301,1386.508132
k8s-bin-packing,20,inception3,12650.01,574.1003489,5984.982249,6559.082598
k8s-bin-packing,21,densenet100_k12,13006.54,389.1001125,645.0674188,1034.167531
k8s-bin-packing,22,densenet40_k12,13419.57,665.8004877,305.5987456,971.3992333
k8s-bin-packing,23,resnet110,14028.24,409.0288245,166.27687,575.3056945
k8s-bin-packing,24,gpt2,14241.13,402.2516634,1326.959675,1729.211339
k8s-bin-packing,25,densenet100_k12,14261.96,1719.363363,257.2703091,1976.633672
k8s-bin-packing,26,whisper,14491.86,1792.778721,578.8567075,2371.635429
k8s-bin-packing,27,whisper,14760.44,2115.967265,2482.385851,4598.353116
k8s-bin-packing,28,densenet40_k12,14787.1,4583.870611,471.0975503,5054.968162
k8s-bin-packing,29,densenet100_k12,15343.23,4542.104086,4040.94594,8583.050026
colocate,0,bert,0,0,5657.41169,5657.41169
colocate,1,bert,822.37,0,188.44054,188.37425
colocate,2,googlenet,1524.25,0.09325,932.49434,932.58759
colocate,3,vgg16,2163.19,0,2304.3875,2303.43469
colocate,4,bert,2265.38,0,852.5273,851.74539
colocate,5,resnet44,3291.24,0,796.5702,795.33849
colocate,6,inception3,3372.91,0,4028.4888,4027.44989
colocate,7,whisper,4831.36,837.33289,1254.252,2091.58489
colocate,8,densenet100_k12,5493.66,1442.75639,247.4966,1690.25299
colocate,9,resnet44,7322.44,0,181.7348,181.08989
colocate,10,resnet110,7641.03,1.05569,231.3043,232.35999
colocate,11,resnet44,7678.91,0,130.9206,128.98969
colocate,12,densenet100_k12,8875.31,0.14359,121.4899,121.63349
colocate,13,densenet40_k12,9280.5,0,521.5256,520.84469
colocate,14,resnet44,9674.31,0.20439,287.4053,287.60969
colocate,15,resnet44,10469.24,0,350.6014,350.06399
colocate,16,bert,10663.23,0,2715.5993,2714.50569
colocate,17,densenet40_k12,11697.76,0,181.9194,180.57959
colocate,18,resnet50,11716.37,0,10323.085,10323.04249
colocate,19,resnet50,11961.23,0.00359,845.7727,845.77629
colocate,20,inception3,12650.01,204.01549,5551.0178,5755.03329
colocate,21,densenet100_k12,13006.54,5451.65429,532.0174,5983.67169
colocate,22,densenet40_k12,13419.57,5619.34839,254.8454,5874.19379
colocate,23,resnet110,14028.24,5017.95769,159.5037,5177.46139
colocate,24,gpt2,14241.13,5098.56239,1026.2871,6124.84949
colocate,25,densenet100_k12,14261.96,6115.90949,241.0152,6356.92469
colocate,26,whisper,14491.86,6177.86429,434.9052,6612.76949
colocate,27,whisper,14760.44,6357.65789,1945.563,8303.22089
colocate,28,densenet40_k12,14787.1,7303.79049,390.6278,7694.41829
colocate,29,densenet100_k12,15343.23,7188.38109,2627.077,9815.45809
